Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0037822,Speech Disorders,,-2.7,12,5.5,30182,183,42,3,7.1,4,4137|6945|8289,MAPT|MLX|ARID1A,-0.3,MyList
DisGeNET,35,C0005411,Biliary Atresia,,-2.7,12,5.4,30182,184,42,3,7.1,4,3663|4599|7098,IRF5|MX1|TLR3,-0.3,MyList
DisGeNET,35,C0262584,"Carcinoma, Small Cell",,-2.7,12,5.4,30182,185,42,3,7.1,4,2272|5468|8289,FHIT|PPARG|ARID1A,-0.29,MyList
DisGeNET,35,C4521042,Complete Trisomy 21 Syndrome,,-2.6,5.4,4.3,30182,668,42,5,12,5,2100|4137|4599|4782|9863,ESR2|MAPT|MX1|NFIC|MAGI2,-0.29,MyList
DisGeNET,35,C0220644,Childhood Hodgkin Lymphoma,,-2.6,7.2,4.7,30182,399,42,4,9.5,4.5,1879|2100|2272|3663,EBF1|ESR2|FHIT|IRF5,-0.29,MyList
DisGeNET,35,C0220597,Adult Hodgkin Lymphoma,,-2.6,7.2,4.7,30182,399,42,4,9.5,4.5,1879|2100|2272|3663,EBF1|ESR2|FHIT|IRF5,-0.29,MyList
DisGeNET,35,C2936719,Mechanical Allodynia,,-2.6,7,4.6,30182,408,42,4,9.5,4.5,3661|3663|7593|10818,IRF3|IRF5|MZF1|FRS2,-0.26,MyList
Transcription Factor Targets,16,M11022,MAZ Q6,,-2.6,11,5.3,30182,193,42,3,7.1,4,322|1912|8289,APBB1|PHC2|ARID1A,-0.26,MyList
DisGeNET,35,C1328504,Hormone refractory prostate cancer,,-2.6,5.3,4.2,30182,683,42,5,12,5,2100|2185|2887|4605|5468,ESR2|PTK2B|GRB10|MYBL2|PPARG,-0.26,MyList
DisGeNET,35,C0023896,Alcoholic Liver Diseases,,-2.6,11,5.3,30182,195,42,3,7.1,4,3661|5468|8289,IRF3|PPARG|ARID1A,-0.26,MyList
Transcription Factor Targets,16,M3128,AAANWWTGC UNKNOWN,,-2.6,11,5.3,30182,195,42,3,7.1,4,287|1879|7050,ANK2|EBF1|TGIF1,-0.26,MyList
DisGeNET,35,C0042373,Vascular Diseases,,-2.6,5.2,4.2,30182,688,42,5,12,5,2185|3661|4137|5468|9863,PTK2B|IRF3|MAPT|PPARG|MAGI2,-0.26,MyList
Transcription Factor Targets,16,M13641,HFH3 01,,-2.6,11,5.2,30182,196,42,3,7.1,4,2119|8820|89795,ETV5|HESX1|NAV3,-0.26,MyList
DisGeNET,35,C0036920,Sezary Syndrome,,-2.6,11,5.2,30182,196,42,3,7.1,4,4605|8289|89795,MYBL2|ARID1A|NAV3,-0.26,MyList
DisGeNET,35,C1527349,Ductal Breast Carcinoma,,-2.6,11,5.2,30182,196,42,3,7.1,4,2100|2272|3663,ESR2|FHIT|IRF5,-0.26,MyList
DisGeNET,35,C1134719,Invasive Ductal Breast Carcinoma,,-2.6,6.9,4.5,30182,414,42,4,9.5,4.5,2100|2272|3663|8289,ESR2|FHIT|IRF5|ARID1A,-0.26,MyList
DisGeNET,35,C0275518,Acute infectious disease,,-2.6,11,5.2,30182,198,42,3,7.1,4,3661|4782|5468,IRF3|NFIC|PPARG,-0.25,MyList
DisGeNET,35,C0003125,Anorexia Nervosa,,-2.6,11,5.1,30182,202,42,3,7.1,4,1879|2100|55790,EBF1|ESR2|CSGALNACT1,-0.23,MyList
DisGeNET,35,C0151468,Thyroid Gland Follicular Adenoma,,-2.6,11,5.1,30182,202,42,3,7.1,4,2100|5468|7879,ESR2|PPARG|RAB7A,-0.23,MyList
Transcription Factor Targets,16,M1341,HFH4 01,,-2.5,11,5.1,30182,205,42,3,7.1,4,5468|7050|8820,PPARG|TGIF1|HESX1,-0.22,MyList
DisGeNET,35,C0542476,Forgetful,,-2.5,6.7,4.4,30182,429,42,4,9.5,4.5,2100|2185|4137|5468,ESR2|PTK2B|MAPT|PPARG,-0.22,MyList
DisGeNET,35,C1270972,Mild cognitive disorder,,-2.5,6.7,4.4,30182,430,42,4,9.5,4.5,2100|4137|7879|120892,ESR2|MAPT|RAB7A|LRRK2,-0.21,MyList
DisGeNET,35,C1336708,Testicular Germ Cell Tumor,,-2.5,10,5.1,30182,208,42,3,7.1,4,2100|2272|5468,ESR2|FHIT|PPARG,-0.21,MyList
DisGeNET,35,C3241937,Nonalcoholic Steatohepatitis,,-2.5,6.6,4.4,30182,434,42,4,9.5,4.5,2100|5468|7098|8289,ESR2|PPARG|TLR3|ARID1A,-0.21,MyList
DisGeNET,35,C0014772,Red Blood Cell Count measurement,,-2.5,5,4.1,30182,717,42,5,12,5,2100|2119|2887|4137|5468,ESR2|ETV5|GRB10|MAPT|PPARG,-0.21,MyList
DisGeNET,35,C4082937,Necrotizing enterocolitis in fetus OR newborn,,-2.5,10,5,30182,210,42,3,7.1,4,2729|3663|5468,GCLC|IRF5|PPARG,-0.2,MyList
DisGeNET,35,C0011269,"Dementia, Vascular",,-2.5,10,5,30182,212,42,3,7.1,4,2100|4137|5468,ESR2|MAPT|PPARG,-0.19,MyList
Cell Type Signatures,7,M39054,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-2.5,6.5,4.4,30182,440,42,4,9.5,4.5,4605|5454|51347|55790,MYBL2|POU3F2|TAOK3|CSGALNACT1,-0.19,MyList
Transcription Factor Targets,16,M29968,FOXE1 TARGET GENES,,-2.5,4.9,4,30182,728,42,5,12,5,7879|8289|85313|91768|158471,RAB7A|ARID1A|PPIL4|CABLES1|PRUNE2,-0.19,MyList
Cell Type Signatures,7,M39269,HU FETAL RETINA RGC,,-2.5,6.5,4.3,30182,443,42,4,9.5,4.5,287|1879|4137|158471,ANK2|EBF1|MAPT|PRUNE2,-0.19,MyList
DisGeNET,35,C2145472,Urothelial Carcinoma,,-2.5,6.4,4.3,30182,449,42,4,9.5,4.5,2100|2272|3661|8289,ESR2|FHIT|IRF3|ARID1A,-0.17,MyList
DisGeNET,35,C0858252,Breast adenocarcinoma,,-2.5,9.8,4.9,30182,219,42,3,7.1,4,2729|5468|8289,GCLC|PPARG|ARID1A,-0.17,MyList
DisGeNET,35,C0268731,Renal glomerular disease,,-2.4,9.8,4.9,30182,221,42,3,7.1,4,5468|7098|9863,PPARG|TLR3|MAGI2,-0.16,MyList
DisGeNET,35,C1840264,IMMUNE SUPPRESSION,,-2.4,9.7,4.9,30182,222,42,3,7.1,4,3661|7050|7098,IRF3|TGIF1|TLR3,-0.16,MyList
DisGeNET,35,C0017661,IGA Glomerulonephritis,,-2.4,6.3,4.3,30182,456,42,4,9.5,4.5,3663|4599|5468|7098,IRF5|MX1|PPARG|TLR3,-0.16,MyList
DisGeNET,35,C0206687,"Carcinoma, Endometrioid",,-2.4,9.7,4.8,30182,223,42,3,7.1,4,2100|2119|8289,ESR2|ETV5|ARID1A,-0.16,MyList
DisGeNET,35,C0553723,Squamous cell carcinoma of skin,,-2.4,6.3,4.2,30182,458,42,4,9.5,4.5,2100|2185|3661|5468,ESR2|PTK2B|IRF3|PPARG,-0.16,MyList
Transcription Factor Targets,16,M29893,ATF5 TARGET GENES,,-2.4,6.3,4.2,30182,458,42,4,9.5,4.5,7050|8289|55790|89795,TGIF1|ARID1A|CSGALNACT1|NAV3,-0.16,MyList
Transcription Factor Targets,16,M4453,MAZR 01,,-2.4,9.6,4.8,30182,224,42,3,7.1,4,2119|4137|5454,ETV5|MAPT|POU3F2,-0.16,MyList
DisGeNET,35,C0235480,Paroxysmal atrial fibrillation,,-2.4,9.5,4.8,30182,226,42,3,7.1,4,2100|4137|5468,ESR2|MAPT|PPARG,-0.15,MyList
DisGeNET,35,C0023787,Lipodystrophy,,-2.4,9.5,4.8,30182,226,42,3,7.1,4,1879|2100|5468,EBF1|ESR2|PPARG,-0.15,MyList
DisGeNET,35,C0007129,Merkel cell carcinoma,,-2.4,9.5,4.8,30182,226,42,3,7.1,4,2272|5454|158471,FHIT|POU3F2|PRUNE2,-0.15,MyList
Cell Type Signatures,7,M39066,MANNO MIDBRAIN NEUROTYPES HNBML5,,-2.4,6.2,4.2,30182,465,42,4,9.5,4.5,287|10915|23281|51347,ANK2|TCERG1|MTUS2|TAOK3,-0.15,MyList
DisGeNET,35,C0015672,Fatigue,,-2.4,4.7,3.9,30182,760,42,5,12,5,3663|5468|6945|8820|120892,IRF5|PPARG|MLX|HESX1|LRRK2,-0.15,MyList
Transcription Factor Targets,16,M15595,CART1 01,,-2.4,9.4,4.8,30182,229,42,3,7.1,4,8820|91768|158471,HESX1|CABLES1|PRUNE2,-0.15,MyList
DisGeNET,35,C0375023,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,,-2.4,6.2,4.2,30182,467,42,4,9.5,4.5,2100|3661|5468|7098,ESR2|IRF3|PPARG|TLR3,-0.15,MyList
DisGeNET,35,C0279628,Adenocarcinoma Of Esophagus,,-2.4,6.1,4.2,30182,468,42,4,9.5,4.5,2272|5468|7098|8289,FHIT|PPARG|TLR3|ARID1A,-0.15,MyList
Transcription Factor Targets,16,M5479,SRF Q4,,-2.4,9.4,4.8,30182,230,42,3,7.1,4,5468|7050|158471,PPARG|TGIF1|PRUNE2,-0.15,MyList
DisGeNET,35,C0013080,Down Syndrome,,-2.4,4.7,3.9,30182,765,42,5,12,5,2100|4137|4599|4782|9863,ESR2|MAPT|MX1|NFIC|MAGI2,-0.15,MyList
DisGeNET,35,C0155626,Acute myocardial infarction,,-2.4,4.7,3.9,30182,766,42,5,12,5,2100|2185|4605|5468|120892,ESR2|PTK2B|MYBL2|PPARG|LRRK2,-0.15,MyList
DisGeNET,35,C0345905,Intrahepatic Cholangiocarcinoma,,-2.4,6.1,4.2,30182,470,42,4,9.5,4.5,2100|2272|8289|120892,ESR2|FHIT|ARID1A|LRRK2,-0.15,MyList
DisGeNET,35,C0032927,Precancerous Conditions,,-2.4,6.1,4.2,30182,471,42,4,9.5,4.5,2100|2272|4605|8289,ESR2|FHIT|MYBL2|ARID1A,-0.15,MyList
DisGeNET,35,C0205696,Anaplastic carcinoma,,-2.4,9.3,4.7,30182,232,42,3,7.1,4,2100|2272|5468,ESR2|FHIT|PPARG,-0.15,MyList
Transcription Factor Targets,16,M14782,VDR Q3,,-2.4,9.3,4.7,30182,232,42,3,7.1,4,1879|8289|11016,EBF1|ARID1A|ATF7,-0.15,MyList
DisGeNET,35,C0853879,Invasive carcinoma of breast,,-2.4,6.1,4.2,30182,472,42,4,9.5,4.5,2100|2272|3663|8289,ESR2|FHIT|IRF5|ARID1A,-0.15,MyList
DisGeNET,35,C1704272,Benign Prostatic Hyperplasia,,-2.4,4.7,3.8,30182,770,42,5,12,5,2100|2185|2729|5468|9863,ESR2|PTK2B|GCLC|PPARG|MAGI2,-0.15,MyList
COVID,200,COVID011,RNA_Blanco-Melo_A549-ACE2-ruxolitinib_Down,,-2.4,9.3,4.7,30182,233,42,3,7.1,4,2185|4599|7098,PTK2B|MX1|TLR3,-0.15,MyList
DisGeNET,35,C2347747,Adult Classical Hodgkin Lymphoma,,-2.4,9.3,4.7,30182,233,42,3,7.1,4,1879|2272|3663,EBF1|FHIT|IRF5,-0.15,MyList
DisGeNET,35,C0011633,Dermatomyositis,,-2.4,9.2,4.7,30182,235,42,3,7.1,4,3663|4599|7098,IRF5|MX1|TLR3,-0.15,MyList
DisGeNET,35,C3203102,Idiopathic pulmonary arterial hypertension,,-2.4,4.6,3.8,30182,776,42,5,12,5,2185|3663|5468|6945|7098,PTK2B|IRF5|PPARG|MLX|TLR3,-0.15,MyList
DisGeNET,35,C1292769,Precursor B-cell lymphoblastic leukemia,,-2.4,6,4.1,30182,478,42,4,9.5,4.5,1879|2272|5468|171017,EBF1|FHIT|PPARG|ZNF384,-0.15,MyList
DisGeNET,35,C0700201,Dyssomnias,,-2.4,9.1,4.7,30182,236,42,3,7.1,4,4137|8820|120892,MAPT|HESX1|LRRK2,-0.15,MyList
Transcription Factor Targets,16,M1793,ZF5 01,,-2.4,9.1,4.7,30182,237,42,3,7.1,4,322|1912|7050,APBB1|PHC2|TGIF1,-0.14,MyList
Cell Type Signatures,7,M39236,LAKE ADULT KIDNEY C17 COLLECTING SYSTEM PCS STRESSED DISSOC SUBSET,,-2.3,9,4.6,30182,240,42,3,7.1,4,7879|55790|80206,RAB7A|CSGALNACT1|FHOD3,-0.14,MyList
DisGeNET,35,C3888194,MIXED LINEAGE LEUKEMIA,,-2.3,9,4.6,30182,240,42,3,7.1,4,7050|8289|171017,TGIF1|ARID1A|ZNF384,-0.14,MyList
Transcription Factor Targets,16,M3902,POU1F1 Q6,,-2.3,9,4.6,30182,240,42,3,7.1,4,322|8820|171017,APBB1|HESX1|ZNF384,-0.14,MyList
DisGeNET,35,C0342257,Complications of Diabetes Mellitus,,-2.3,9,4.6,30182,240,42,3,7.1,4,2119|2729|5468,ETV5|GCLC|PPARG,-0.14,MyList
DisGeNET,35,C1445957,Serum total cholesterol measurement,,-2.3,5.9,4.1,30182,486,42,4,9.5,4.5,2119|3661|5468|120892,ETV5|IRF3|PPARG|LRRK2,-0.14,MyList
DisGeNET,35,C0007124,Noninfiltrating Intraductal Carcinoma,,-2.3,5.9,4.1,30182,486,42,4,9.5,4.5,2100|2272|3663|5468,ESR2|FHIT|IRF5|PPARG,-0.14,MyList
DisGeNET,35,C0022346,Icterus,,-2.3,8.9,4.6,30182,241,42,3,7.1,4,2729|3663|8820,GCLC|IRF5|HESX1,-0.14,MyList
DisGeNET,35,C0035235,Respiratory Syncytial Virus Infections,,-2.3,8.8,4.6,30182,244,42,3,7.1,4,3661|5468|7098,IRF3|PPARG|TLR3,-0.13,MyList
DisGeNET,35,C0206754,Neuroendocrine Tumors,,-2.3,5.9,4,30182,491,42,4,9.5,4.5,2100|2185|2272|8289,ESR2|PTK2B|FHIT|ARID1A,-0.13,MyList
DisGeNET,35,C0949664,Tauopathies,,-2.3,8.8,4.6,30182,245,42,3,7.1,4,2185|4137|120892,PTK2B|MAPT|LRRK2,-0.12,MyList
Transcription Factor Targets,16,M11461,FOXO4 01,,-2.3,8.8,4.6,30182,246,42,3,7.1,4,2119|7050|8820,ETV5|TGIF1|HESX1,-0.12,MyList
DisGeNET,35,C3160718,"PARKINSON DISEASE, LATE-ONSET",,-2.3,8.7,4.6,30182,247,42,3,7.1,4,4137|5468|120892,MAPT|PPARG|LRRK2,-0.12,MyList
Transcription Factor Targets,16,M19265,SREBP1 Q6,,-2.3,8.7,4.6,30182,247,42,3,7.1,4,2119|2185|51043,ETV5|PTK2B|ZBTB7B,-0.12,MyList
Transcription Factor Targets,16,M11512,FOXO1 01,,-2.3,8.7,4.5,30182,248,42,3,7.1,4,2119|5454|8820,ETV5|POU3F2|HESX1,-0.12,MyList
DisGeNET,35,C0003862,Arthralgia,,-2.3,8.7,4.5,30182,248,42,3,7.1,4,3663|4137|6945,IRF5|MAPT|MLX,-0.12,MyList
DisGeNET,35,C1510472,Drug Dependence,,-2.3,8.7,4.5,30182,248,42,3,7.1,4,2272|5468|80206,FHIT|PPARG|FHOD3,-0.12,MyList
Transcription Factor Targets,16,M7689,MEIS1 01,,-2.3,8.7,4.5,30182,249,42,3,7.1,4,287|4137|7050,ANK2|MAPT|TGIF1,-0.12,MyList
DisGeNET,35,C0038525,Subarachnoid Hemorrhage,,-2.3,5.7,4,30182,501,42,4,9.5,4.5,2185|2729|5468|7098,PTK2B|GCLC|PPARG|TLR3,-0.12,MyList
DisGeNET,35,C0275524,Coinfection,,-2.3,8.6,4.5,30182,252,42,3,7.1,4,3661|5468|7098,IRF3|PPARG|TLR3,-0.11,MyList
Cell Type Signatures,7,M40168,DESCARTES FETAL CEREBRUM MICROGLIA,,-2.3,5.7,4,30182,505,42,4,9.5,4.5,2729|3663|5468|7098,GCLC|IRF5|PPARG|TLR3,-0.11,MyList
DisGeNET,35,C0027121,Myositis,,-2.3,8.5,4.5,30182,254,42,3,7.1,4,322|3663|7098,APBB1|IRF5|TLR3,-0.1,MyList
DisGeNET,35,C0018916,Hemangioma,,-2.3,8.4,4.5,30182,256,42,3,7.1,4,2185|5468|7050,PTK2B|PPARG|TGIF1,-0.098,MyList
DisGeNET,35,C2938924,Oestrogen receptor positive breast cancer,,-2.3,5.6,3.9,30182,510,42,4,9.5,4.5,2100|2185|4137|5468,ESR2|PTK2B|MAPT|PPARG,-0.098,MyList
Transcription Factor Targets,16,M5,STAT 01,,-2.3,8.4,4.4,30182,258,42,3,7.1,4,2119|2887|10915,ETV5|GRB10|TCERG1,-0.091,MyList
Transcription Factor Targets,16,M17883,STAT5A 01,,-2.3,8.3,4.4,30182,259,42,3,7.1,4,322|2119|2887,APBB1|ETV5|GRB10,-0.088,MyList
Transcription Factor Targets,16,M4153,PXR Q2,,-2.2,8.3,4.4,30182,260,42,3,7.1,4,2119|51347|91768,ETV5|TAOK3|CABLES1,-0.087,MyList
DisGeNET,35,C0039483,Giant Cell Arteritis,,-2.2,8.3,4.4,30182,260,42,3,7.1,4,2100|3663|4599,ESR2|IRF5|MX1,-0.087,MyList
DisGeNET,35,C0553580,Ewings sarcoma,,-2.2,5.6,3.9,30182,517,42,4,9.5,4.5,2119|2272|2887|8289,ETV5|FHIT|GRB10|ARID1A,-0.087,MyList
DisGeNET,35,C1861305,TARSAL-CARPAL COALITION SYNDROME,,-2.2,8.3,4.4,30182,261,42,3,7.1,4,2272|7593|8289,FHIT|MZF1|ARID1A,-0.086,MyList
Transcription Factor Targets,16,M16417,FOXO4 02,,-2.2,8.2,4.4,30182,263,42,3,7.1,4,2100|2119|7050,ESR2|ETV5|TGIF1,-0.079,MyList
DisGeNET,35,C0566602,Primary sclerosing cholangitis,,-2.2,8.2,4.4,30182,264,42,3,7.1,4,2185|2729|8289,PTK2B|GCLC|ARID1A,-0.076,MyList
Transcription Factor Targets,16,M6985,GABP B,,-2.2,8.1,4.4,30182,265,42,3,7.1,4,7879|10818|171017,RAB7A|FRS2|ZNF384,-0.074,MyList
Transcription Factor Targets,16,M19588,CEBPB 02,,-2.2,8.1,4.3,30182,266,42,3,7.1,4,5468|7050|57091,PPARG|TGIF1|CASS4,-0.071,MyList
DisGeNET,35,C0007570,Celiac Disease,,-2.2,5.5,3.9,30182,527,42,4,9.5,4.5,3663|7098|9863|120892,IRF5|TLR3|MAGI2|LRRK2,-0.069,MyList
Transcription Factor Targets,16,M15623,SOX5 01,,-2.2,8,4.3,30182,268,42,3,7.1,4,287|1879|8820,ANK2|EBF1|HESX1,-0.066,MyList
DisGeNET,35,C0428474,Serum LDL cholesterol measurement,,-2.2,8,4.3,30182,269,42,3,7.1,4,3661|5468|7098,IRF3|PPARG|TLR3,-0.063,MyList
Cell Type Signatures,7,M41699,TRAVAGLINI LUNG CLASSICAL MONOCYTE CELL,,-2.2,8,4.3,30182,270,42,3,7.1,4,1912|5791|120892,PHC2|PTPRE|LRRK2,-0.061,MyList
Transcription Factor Targets,16,M6446,CACCCBINDINGFACTOR Q6,,-2.2,8,4.3,30182,271,42,3,7.1,4,2119|4137|171017,ETV5|MAPT|ZNF384,-0.06,MyList
DisGeNET,35,C1262477,Weight decreased,,-2.2,8,4.3,30182,271,42,3,7.1,4,4137|6945|120892,MAPT|MLX|LRRK2,-0.06,MyList
DisGeNET,35,C0016529,Forced expiratory volume function,,-2.2,7.9,4.3,30182,272,42,3,7.1,4,1879|55790|91768,EBF1|CSGALNACT1|CABLES1,-0.059,MyList
DisGeNET,35,C0747845,early pregnancy,,-2.2,7.9,4.3,30182,273,42,3,7.1,4,2100|5468|8289,ESR2|PPARG|ARID1A,-0.059,MyList
DisGeNET,35,C0006625,Cachexia,,-2.2,7.9,4.3,30182,273,42,3,7.1,4,2185|5468|7098,PTK2B|PPARG|TLR3,-0.059,MyList
Transcription Factor Targets,16,M13672,HNF4 01,,-2.2,7.9,4.3,30182,273,42,3,7.1,4,5468|7050|51347,PPARG|TGIF1|TAOK3,-0.059,MyList
DisGeNET,35,C0018799,Heart Diseases,,-2.2,5.4,3.8,30182,537,42,4,9.5,4.5,287|2100|8820|80206,ANK2|ESR2|HESX1|FHOD3,-0.059,MyList
DisGeNET,35,C0002793,Anaplasia,,-2.2,5.3,3.8,30182,538,42,4,9.5,4.5,2100|4782|5468|8289,ESR2|NFIC|PPARG|ARID1A,-0.059,MyList
DisGeNET,35,C4284013,Primary cholangiocarcinoma of intrahepatic biliary tract,,-2.2,7.9,4.3,30182,274,42,3,7.1,4,2100|8289|120892,ESR2|ARID1A|LRRK2,-0.059,MyList
Transcription Factor Targets,16,M4770,COREBINDINGFACTOR Q6,,-2.2,7.8,4.2,30182,276,42,3,7.1,4,2185|5468|89795,PTK2B|PPARG|NAV3,-0.052,MyList
Transcription Factor Targets,16,M29962,F10 TARGET GENES,,-2.2,7.8,4.2,30182,277,42,3,7.1,4,5454|7098|80206,POU3F2|TLR3|FHOD3,-0.05,MyList
DisGeNET,35,C1319315,Adenocarcinoma of large intestine,,-2.2,5.3,3.8,30182,543,42,4,9.5,4.5,2100|2272|5468|7593,ESR2|FHIT|PPARG|MZF1,-0.05,MyList
DisGeNET,35,C0269102,Endometrioma,,-2.2,7.7,4.2,30182,279,42,3,7.1,4,2100|8289|120892,ESR2|ARID1A|LRRK2,-0.045,MyList
DisGeNET,35,C0428472,Serum HDL cholesterol measurement,,-2.1,7.6,4.2,30182,283,42,3,7.1,4,2100|3661|5468,ESR2|IRF3|PPARG,-0.031,MyList
DisGeNET,35,C0205698,Undifferentiated carcinoma,,-2.1,7.6,4.2,30182,283,42,3,7.1,4,2100|2272|8289,ESR2|FHIT|ARID1A,-0.031,MyList
DisGeNET,35,C1333064,Classical Hodgkin's Lymphoma,,-2.1,7.6,4.2,30182,285,42,3,7.1,4,1879|2272|3663,EBF1|FHIT|IRF5,-0.024,MyList
DisGeNET,35,C0006413,Burkitt Lymphoma,,-2.1,5.2,3.7,30182,556,42,4,9.5,4.5,2100|2272|3663|8289,ESR2|FHIT|IRF5|ARID1A,-0.024,MyList
DisGeNET,35,C1827293,"Carcinoma of urinary bladder, invasive",,-2.1,7.5,4.1,30182,287,42,3,7.1,4,5468|7098|8289,PPARG|TLR3|ARID1A,-0.019,MyList
DisGeNET,35,C0003811,Cardiac Arrhythmia,,-2.1,5.1,3.7,30182,559,42,4,9.5,4.5,287|2100|2185|2729,ANK2|ESR2|PTK2B|GCLC,-0.019,MyList
DisGeNET,35,C0025500,Mesothelioma,,-2.1,5.1,3.7,30182,560,42,4,9.5,4.5,2100|2272|2729|7098,ESR2|FHIT|GCLC|TLR3,-0.018,MyList
Transcription Factor Targets,16,M1830,YKACATTT UNKNOWN,,-2.1,7.4,4.1,30182,290,42,3,7.1,4,1879|5468|91768,EBF1|PPARG|CABLES1,-0.013,MyList
DisGeNET,35,C0202236,Triglycerides measurement,,-2.1,5.1,3.7,30182,563,42,4,9.5,4.5,2100|3661|7098|8289,ESR2|IRF3|TLR3|ARID1A,-0.013,MyList
DisGeNET,35,C0032463,Polycythemia Vera,,-2.1,7.4,4.1,30182,291,42,3,7.1,4,3661|5468|7098,IRF3|PPARG|TLR3,-0.013,MyList
DisGeNET,35,C0040100,Thymoma,,-2.1,7.4,4.1,30182,291,42,3,7.1,4,2185|2272|7098,PTK2B|FHIT|TLR3,-0.013,MyList
DisGeNET,35,C0085605,Liver Failure,,-2.1,7.4,4.1,30182,293,42,3,7.1,4,2185|3663|5468,PTK2B|IRF5|PPARG,-0.0089,MyList
DisGeNET,35,C0206682,Follicular thyroid carcinoma,,-2.1,7.4,4.1,30182,293,42,3,7.1,4,2100|2272|5468,ESR2|FHIT|PPARG,-0.0089,MyList
DisGeNET,35,C0162309,Adrenoleukodystrophy,,-2.1,7.3,4.1,30182,294,42,3,7.1,4,3661|5468|7098,IRF3|PPARG|TLR3,-0.0089,MyList
DisGeNET,35,C0153633,Malignant neoplasm of brain,,-2.1,7.3,4.1,30182,294,42,3,7.1,4,2119|4137|5468,ETV5|MAPT|PPARG,-0.0089,MyList
DisGeNET,35,C0042133,Uterine Fibroids,,-2.1,5.1,3.6,30182,569,42,4,9.5,4.5,2100|2185|5468|7098,ESR2|PTK2B|PPARG|TLR3,-0.0089,MyList
DisGeNET,35,C0541764,Delayed bone age,,-2.1,7.3,4.1,30182,295,42,3,7.1,4,5468|8289|8820,PPARG|ARID1A|HESX1,-0.0084,MyList
Cell Type Signatures,7,M39121,AIZARANI LIVER C20 LSECS 3,,-2.1,7.3,4.1,30182,295,42,3,7.1,4,1912|2887|10915,PHC2|GRB10|TCERG1,-0.0084,MyList
DisGeNET,35,C0027697,Nephritis,,-2.1,7.3,4.1,30182,296,42,3,7.1,4,2185|7098|120892,PTK2B|TLR3|LRRK2,-0.006,MyList
DisGeNET,35,C0027962,Melanocytic nevus,,-2.1,7.3,4,30182,297,42,3,7.1,4,2100|2185|5468,ESR2|PTK2B|PPARG,-0.0036,MyList
Cell Type Signatures,7,M39051,MANNO MIDBRAIN NEUROTYPES HMGL,,-2.1,5,3.6,30182,577,42,4,9.5,4.5,2185|5791|89795|120892,PTK2B|PTPRE|NAV3|LRRK2,-0.0028,MyList
DisGeNET,35,C1837461,"SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 3",,-2.1,5,3.6,30182,578,42,4,9.5,4.5,287|2272|23281|80206,ANK2|FHIT|MTUS2|FHOD3,-0.0028,MyList
DisGeNET,35,C0035126,Reperfusion Injury,,-2.1,7.2,4,30182,300,42,3,7.1,4,2185|5468|7098,PTK2B|PPARG|TLR3,-0.0028,MyList
COVID,200,COVID054,RNA_Xiong_PBMC_Up,,-2.1,7.2,4,30182,300,42,3,7.1,4,2887|4605|5468,GRB10|MYBL2|PPARG,-0.0028,MyList
COVID,200,COVID008,RNA_Blanco-Melo_A549_Up,,-2.1,7.2,4,30182,300,42,3,7.1,4,287|2887|89795,ANK2|GRB10|NAV3,-0.0028,MyList
COVID,200,COVID040,RNA_Sun_Calu-3_24h_Up,,-2.1,7.2,4,30182,300,42,3,7.1,4,2887|4599|10818,GRB10|MX1|FRS2,-0.0028,MyList
COVID,200,COVID048,RNA_Wyler_Calu-3_12h_Up,,-2.1,7.2,4,30182,300,42,3,7.1,4,4599|7098|10818,MX1|TLR3|FRS2,-0.0028,MyList
DisGeNET,35,C0027794,Neural Tube Defects,,-2.1,7.1,4,30182,304,42,3,7.1,4,2729|7050|8289,GCLC|TGIF1|ARID1A,0,MyList
DisGeNET,35,C0947751,Vascular inflammations,,-2.1,7.1,4,30182,305,42,3,7.1,4,2100|2185|5468,ESR2|PTK2B|PPARG,0,MyList
DisGeNET,35,C0162871,"Aortic Aneurysm, Abdominal",,-2.1,4.9,3.6,30182,586,42,4,9.5,4.5,2100|2185|5468|7098,ESR2|PTK2B|PPARG|TLR3,0,MyList
DisGeNET,35,C0374997,Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site,,-2,4.8,3.5,30182,593,42,4,9.5,4.5,2272|5468|8289|85313,FHIT|PPARG|ARID1A|PPIL4,0,MyList
DisGeNET,35,C0037317,Sleep disturbances,,-2,7,3.9,30182,310,42,3,7.1,4,4137|8820|120892,MAPT|HESX1|LRRK2,0,MyList
DisGeNET,35,C0151449,Primary Sjögren's syndrome,,-2,6.9,3.9,30182,312,42,3,7.1,4,1879|3663|7098,EBF1|IRF5|TLR3,0,MyList
DisGeNET,35,C0011644,Scleroderma,,-2,6.8,3.9,30182,316,42,3,7.1,4,2185|4605|5468,PTK2B|MYBL2|PPARG,0,MyList
